nm lambda,1,2,3,4,5,6,7,8
365.036,0,0,0,0,0,0,0,0
365.207,0,0,0,0,0,0,0,0
365.378,0,0,0,0,0,0,0,0
365.549,0,0,0,0,0,0,0,0
365.721,0,0,0,0,0,0,0,0
365.892,0,0,0,0,0,0,0,0
366.063,0,0,0,0,0,0,0,0
366.234,0,0,0,0,0,0,0,0
366.406,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
366.577,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
366.748,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
366.919,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
367.091,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
367.262,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
367.433,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
367.604,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
367.776,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
367.947,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
368.118,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
368.289,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
368.461,0,0,0,0,0,0,0,0
368.632,0,0,0,0,0,0,0,0
368.803,0,0,0,0,0,0,0,0
368.974,0,0,0,0,0,0,0,0
369.146,0,0,0,0,0,0,0,0
369.317,0,0,0,0,0,0,0,0
369.488,0,0,0,0,0,0,0,0
369.659,0,0,0,0,0,0,0,0
369.831,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
370.002,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
370.173,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
370.345,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
370.516,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
370.687,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
370.858,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
371.03,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
371.201,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
371.372,1.735,2.5,2.5,2.5,2.5,2.5,2.5,1.159
371.543,2.202,2.5,2.5,2.5,2.5,2.5,2.5,1.043
371.715,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.212
371.886,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.309
372.057,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.833
372.229,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
372.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
372.571,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
372.742,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
372.914,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
373.085,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
373.256,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
373.428,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
373.599,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
373.77,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
373.941,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
374.113,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.711
374.284,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.373
374.455,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.208
374.627,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.994
374.798,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.894
374.969,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.787
375.141,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.765
375.312,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.722
375.483,2.5,2.5,2.5,2.5,2.5,2.5,2.246,0.676
375.654,2.5,2.5,2.5,2.5,2.5,2.5,2.036,0.661
375.826,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.661
375.997,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.64
376.168,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.627
376.34,2.5,2.5,2.5,2.5,2.5,2.5,2.33,0.593
376.511,2.5,2.5,2.5,2.5,2.5,2.5,1.78,0.554
376.682,2.5,2.5,2.5,2.5,2.5,2.5,1.57,0.53
376.854,2.5,2.5,2.5,2.5,2.5,2.5,1.475,0.506
377.025,2.5,2.5,2.5,2.5,2.5,2.5,1.478,0.495
377.196,2.5,2.5,2.5,2.5,2.5,2.5,1.523,0.493
377.368,2.5,2.5,2.5,2.5,2.5,2.5,1.481,0.491
377.539,2.5,2.5,2.5,2.5,2.5,2.5,1.455,0.479
377.71,2.5,2.5,2.5,2.5,2.5,2.5,1.43,0.472
377.881,2.5,2.5,2.5,2.5,2.5,2.5,1.422,0.468
378.053,2.5,2.5,2.5,2.5,2.5,2.247,1.351,0.457
378.224,2.5,2.5,2.5,2.5,2.5,2.451,1.386,0.458
378.395,2.5,2.5,2.5,2.5,2.5,2.221,1.382,0.457
378.567,2.5,2.5,2.5,2.5,2.5,2.302,1.378,0.45
378.738,2.5,2.5,2.5,2.5,2.5,2.412,1.392,0.44
378.909,2.5,2.5,2.5,2.5,2.5,2.314,1.42,0.439
379.081,2.5,2.5,2.5,2.5,2.5,2.153,1.377,0.43
379.252,2.5,2.5,2.5,2.5,2.5,1.958,1.323,0.423
379.423,2.5,2.5,2.5,2.5,2.5,1.849,1.29,0.416
379.595,2.5,2.5,2.5,2.5,2.5,1.831,1.279,0.41
