nm lambda,1,2,3,4,5,6,7,8
365.036,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
365.207,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
365.378,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
365.549,0,0,0,0,0,0,0,0
365.721,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
365.892,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
366.063,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
366.234,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
366.406,0,0,0,0,0,0,0,0
366.577,0,0,0,0,0,0,0,0
366.748,0,0,0,0,0,0,0,0
366.919,0,0,0,0,0,0,0,0
367.091,0,0,0,0,0,0,0,0
367.262,0,0,0,0,0,0,0,0
367.433,0,0,0,0,0,0,0,0
367.604,0,0,0,0,0,0,0,0
367.776,0,0,0,0,0,0,0,0
367.947,0,0,0,0,0,0,0,0
368.118,0,0,0,0,0,0,0,0
368.289,0,0,0,0,0,0,0,0
368.461,0,0,0,0,0,0,0,0
368.632,0,0,0,0,0,0,0,0
368.803,0,0,0,0,0,0,0,0
368.974,2.5,2.5,2.5,2.5,0,0.394,2.5,0.751
369.146,2.5,2.5,2.5,2.5,0,0.185,2.5,0.562
369.317,0.651,0.911,0.363,1.207,0,0.159,0.561,0.326
369.488,0.375,0.505,0.323,0.655,0.032,0.216,0.854,0.445
369.659,0.265,0.535,0.281,0.638,0.061,0.27,0.582,0.483
369.831,0.188,0.348,0.23,0.488,0.066,0.228,0.407,0.387
370.002,0.198,0.355,0.231,0.521,0.105,0.25,0.36,0.391
370.173,0.208,0.499,0.321,0.803,0.143,0.366,0.375,0.509
370.345,0.283,0.763,0.566,2.5,0.22,0.636,0.649,0.855
370.516,0.235,0.696,0.612,2.5,0.352,0.784,0.645,1.01
370.687,0.206,0.828,0.696,2.5,0.545,1.146,0.605,2.5
370.858,0.173,0.493,0.419,2.5,0.333,0.415,0.354,0.617
