nm lambda,1,2,3,4,5,6,7,8,9,10,11,12
365.036,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
365.207,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
365.378,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
365.549,0,0,0,0,0,0,0,0,0,0,0,0
365.721,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
365.892,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
366.063,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
366.234,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
366.406,0,0,0,0,0,0,0,0,0,0,0,0
366.577,0,0,0,0,0,0,0,0,0,0,0,0
366.748,0,0,0,0,0,0,0,0,0,0,0,0
366.919,0,0,0,0,0,0,0,0,0,0,0,0
367.091,0,0,0,0,0,0,0,0,0,0,0,0
367.262,0,0,0,0,0,0,0,0,0,0,0,0
367.433,0,0,0,0,0,0,0,0,0,0,0,0
367.604,0,0,0,0,0,0,0,0,0,0,0,0
367.776,0,0,0,0,0,0,0,0,0,0,0,0
367.947,0,0,0,0,0,0,0,0,0,0,0,0
368.118,0,0,0,0,0,0,0,0,0,0,0,0
368.289,0,0,0,0,0,0,0,0,0,0,0,0
368.461,0,0,0,0,0,0,0,0,0,0,0,0
368.632,0,0,0,0,0,0,0,0,0,0,0,0
368.803,0,0,0,0,0,0,0,0,0,0,0,0
368.974,2.5,2.5,2.5,2.5,0,0.394,2.5,0.751,2.5,2.5,2.5,2.5
369.146,2.5,2.5,2.5,2.5,0,0.185,2.5,0.562,2.5,2.5,2.5,2.5
369.317,0.651,0.911,0.363,1.207,0,0.159,0.561,0.326,2.5,2.5,2.5,2.5
369.488,0.375,0.505,0.323,0.655,0.032,0.216,0.854,0.445,2.5,2.5,2.5,2.5
369.659,0.265,0.535,0.281,0.638,0.061,0.27,0.582,0.483,2.5,2.5,2.5,2.5
