nm lambda,1,2,3,4
365.036,2.5,2.5,2.5,2.5
365.207,2.5,2.5,2.5,2.5
365.378,2.5,2.5,2.5,2.5
365.549,0,0,0,0
365.721,2.5,2.5,2.5,2.5
365.892,2.5,2.5,2.5,2.5
366.063,2.5,2.5,2.5,2.5
366.234,2.5,2.5,2.5,2.5
366.406,0,0,0,0
366.577,0,0,0,0
366.748,0,0,0,0
366.919,0,0,0,0
367.091,0,0,0,0
367.262,0,0,0,0
367.433,0,0,0,0
367.604,0,0,0,0
367.776,0,0,0,0
367.947,0,0,0,0
368.118,0,0,0,0
368.289,0,0,0,0
368.461,0,0,0,0
368.632,0,0,0,0
368.803,0,0,0,0
368.974,2.5,2.5,2.5,2.5
369.146,2.5,2.5,2.5,2.5
369.317,2.5,2.5,2.5,2.5
369.488,2.5,2.5,2.5,2.5
369.659,2.5,2.5,2.5,2.5
369.831,2.5,2.5,2.5,2.5
370.002,2.5,2.5,2.5,2.5
370.173,2.5,2.5,2.5,2.5
370.345,2.5,2.5,2.5,2.5
370.516,2.5,2.5,2.5,2.5
370.687,2.5,2.5,2.5,2.5
370.858,2.5,2.5,2.5,2.5
371.03,2.5,2.5,2.5,2.5
371.201,2.5,2.5,2.5,2.5
371.372,2.5,2.5,2.5,2.5
371.543,2.5,2.5,2.5,1.324
371.715,2.5,2.5,2.5,1.018
371.886,2.5,2.5,2.5,0.965
372.057,2.5,2.5,2.5,0.832
372.229,2.5,2.5,2.5,0.917
372.4,2.5,2.5,2.5,0.975
372.571,2.5,2.5,2.5,0.851
372.742,2.5,2.5,2.5,0.876
372.914,2.5,2.5,2.5,0.823
373.085,2.5,2.5,2.5,0.965
373.256,2.5,2.5,2.5,1.065
373.428,2.5,2.5,2.5,1.104
373.599,2.5,2.5,2.5,1.093
373.77,2.5,2.5,2.5,1.054
373.941,2.5,2.5,2.5,0.953
374.113,2.5,2.5,2.5,0.903
374.284,2.5,2.5,2.5,0.87
374.455,2.5,2.5,2.5,0.843
374.627,2.5,2.5,2.5,0.78
374.798,2.5,2.5,2.5,0.777
374.969,2.5,2.5,2.5,0.777
375.141,2.5,2.5,2.5,0.791
375.312,2.5,2.5,2.5,0.744
375.483,2.5,2.5,2.5,0.72
375.654,2.5,2.5,2.5,0.674
375.826,2.5,2.5,2.288,0.636
375.997,2.5,2.5,2.123,0.615
376.168,2.5,2.5,1.915,0.605
376.34,2.5,2.5,1.873,0.59
376.511,2.5,2.5,1.809,0.586
376.682,2.5,2.5,1.673,0.576
376.854,2.5,2.5,1.925,0.572
377.025,2.5,2.5,1.757,0.553
377.196,2.5,2.5,1.837,0.549
377.368,2.5,2.5,1.694,0.527
377.539,2.5,2.5,1.591,0.517
377.71,2.5,2.5,1.461,0.503
377.881,2.5,2.5,1.414,0.49
378.053,2.5,2.5,1.335,0.478
378.224,2.5,2.473,1.316,0.47
378.395,2.5,2.5,1.308,0.461
378.567,2.5,2.075,1.272,0.453
378.738,2.5,2.087,1.247,0.448
378.909,2.5,1.87,1.18,0.443
379.081,2.5,2.017,1.158,0.438
379.252,2.5,1.964,1.112,0.429
379.423,2.5,1.991,1.087,0.424
379.595,2.5,2.002,1.073,0.42
379.766,2.5,2.026,1.032,0.415
379.937,2.5,1.981,1.008,0.412
380.109,2.5,2.036,0.989,0.412
380.28,2.5,2.13,0.974,0.413
380.451,2.5,2.073,0.958,0.409
380.623,2.5,2.139,0.938,0.411
380.794,2.5,2.177,0.934,0.41
380.965,2.5,2.17,0.929,0.41
381.137,2.5,1.959,0.916,0.408
381.308,2.5,1.843,0.897,0.408
381.479,2.5,1.865,0.886,0.408
381.651,2.5,1.766,0.874,0.409
381.822,2.5,1.64,0.858,0.405
381.993,2.5,1.617,0.851,0.404
382.165,2.5,1.581,0.843,0.403
382.336,2.5,1.574,0.84,0.403
382.507,2.5,1.521,0.829,0.403
382.679,2.5,1.492,0.822,0.403
382.85,2.5,1.471,0.813,0.404
383.021,2.5,1.445,0.808,0.405
383.193,2.5,1.431,0.802,0.405
383.364,2.402,1.423,0.799,0.404
383.535,2.5,1.434,0.801,0.405
383.707,2.493,1.411,0.799,0.407
383.878,2.357,1.392,0.791,0.407
384.049,2.349,1.389,0.791,0.409
384.221,2.311,1.384,0.793,0.41
384.392,2.313,1.378,0.796,0.411
384.564,2.247,1.361,0.798,0.411
384.735,2.29,1.367,0.801,0.413
384.906,2.294,1.37,0.804,0.414
385.078,2.281,1.355,0.803,0.415
385.249,2.26,1.349,0.801,0.415
385.42,2.179,1.343,0.798,0.415
385.592,2.213,1.354,0.801,0.415
385.763,2.236,1.352,0.8,0.415
