nm lambda,1,2,3,4,5,6,7,8
365.036,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
365.207,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
365.378,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
365.549,0,0,0,0,0,0,0,0
365.721,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
365.892,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
366.063,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
366.234,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
366.406,0,0,0,0,0,0,0,0
366.577,0,0,0,0,0,0,0,0
366.748,0,0,0,0,0,0,0,0
366.919,0,0,0,0,0,0,0,0
367.091,0,0,0,0,0,0,0,0
367.262,0,0,0,0,0,0,0,0
367.433,0,0,0,0,0,0,0,0
367.604,0,0,0,0,0,0,0,0
367.776,0,0,0,0,0,0,0,0
367.947,0,0,0,0,0,0,0,0
368.118,0,0,0,0,0,0,0,0
368.289,0,0,0,0,0,0,0,0
368.461,0,0,0,0,0,0,0,0
368.632,0,0,0,0,0,0,0,0
368.803,0,0,0,0,0,0,0,0
368.974,0.751,2.5,0.394,0,2.5,2.5,2.5,2.5
369.146,0.562,2.5,0.185,0,2.5,2.5,2.5,2.5
369.317,0.326,0.561,0.159,0,1.207,0.363,0.911,0.651
369.488,0.445,0.854,0.216,0.032,0.655,0.323,0.505,0.375
369.659,0.483,0.582,0.27,0.061,0.638,0.281,0.535,0.265
369.831,0.387,0.407,0.228,0.066,0.488,0.23,0.348,0.188
370.002,0.391,0.36,0.25,0.105,0.521,0.231,0.355,0.198
370.173,0.509,0.375,0.366,0.143,0.803,0.321,0.499,0.208
370.345,0.855,0.649,0.636,0.22,2.5,0.566,0.763,0.283
370.516,1.01,0.645,0.784,0.352,2.5,0.612,0.696,0.235
370.687,2.5,0.605,1.146,0.545,2.5,0.696,0.828,0.206
370.858,0.617,0.354,0.415,0.333,2.5,0.419,0.493,0.173
